开放汉语拆字字典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本拆字字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［汉字］	［拆字部件］
xiao1	〖水 肅 潚〗〖水 肃 □〗〖氵 肃 □〗
qian2	〖水 朁 潛〗〖水 替 潜〗〖氵 替 潜〗
xi1, xi4	〖水 翕 潝〗〖氵 翕 潝〗
lu4	〖水 路 潞〗〖氵 路 潞〗
xi4	〖水 臼 勹 火 潟〗〖氵 臼 勹 灬 潟〗
sun4, xun4, xuan4	〖水 巽 潠〗〖氵 巽 潠〗
dun4	〖水 敦 潡〗〖氵 敦 潡〗
huang2	〖水 黃 潢〗〖水 黄 潢〗〖氵 黄 潢〗
min3	〖水 閔 潣〗〖水 闵 □〗〖氵 闵 □〗
run4	〖水 閏 潤〗〖水 闰 润〗〖氵 闰 润〗
su4	〖水 粟 潥〗〖氵 粟 潥〗
liao2	〖水 尞 潦〗〖氵 尞 潦〗
zhen1	〖水 曾 潧〗〖氵 曾 潧〗
zhong1	〖水 衆 潨〗〖氵 衆 潨〗
yi4	〖水 異 潩〗〖氵 異 潩〗
di2	〖水 智 潪〗〖氵 智 潪〗
wan1	〖水 絭 潫〗〖氵 絭 潫〗
dan4, shan4	〖水 單 潬〗〖水 单 □〗〖氵 单 □〗
tan2	〖水 覃 潭〗〖氵 覃 潭〗
chao2	〖水 朝 潮〗〖氵 朝 潮〗
xun2, yin2	〖水 尋 潯〗〖水 寻 浔〗〖氵 寻 浔〗
kui4	〖水 貴 潰〗〖水 贵 溃〗〖氵 贵 溃〗
shao4	〖水 稍 潲〗〖氵 稍 潲〗
tu2	〖水 屠 潳〗〖氵 屠 潳〗
san4, sa3	〖水 散 潵〗〖氵 散 潵〗
hei1	〖水 黑 潶〗〖氵 黑 潶〗
bi3, bi4	〖水 筆 潷〗〖水 笔 滗〗〖氵 笔 滗〗
shan1	〖水 木 木 月 潸〗〖氵 木 木 月 潸〗
chan2	〖水 森 潹〗〖氵 森 潹〗
chan2	〖水 孱 潺〗〖氵 孱 潺〗
shu3	〖水 黍 潻〗〖氵 黍 潻〗
tong2, chong1, zhong1	〖水 童 潼〗〖氵 童 潼〗
pu3	〖水 普 潽〗〖氵 普 潽〗
lin2	〖水 粦 潾〗〖氵 粦 潾〗
wei2	〖水 圍 潿〗〖水 围 涠〗〖氵 围 涠〗
se4	〖水 歰 澀〗〖水 刃 止 涩〗〖氵 刃 止 涩〗
se4	〖水 歮 澁〗〖氵 歮 澁〗
cheng2	〖水 山 一 王 攴 澂〗〖氵 彳 山 一 王 攵 徴 澂〗
jiong4	〖須 水 澃〗〖须 水 □〗
cheng2	〖水 登 澄〗〖氵 登 澄〗
hua4	〖水 畫 澅〗〖水 划 □〗〖氵 划 □〗
jiao1	〖水 堯 澆〗〖水 尧 浇〗〖氵 尧 浇〗
lao4	〖水 勞 澇〗〖水 劳 涝〗〖氵 劳 涝〗
che4	〖水 育 攵 澈〗〖氵 育 攵 澈〗
gan3, han4	〖水 敢 澉〗〖氵 敢 澉〗
cun1	〖水 尊 澊〗〖氵 尊 澊〗
heng4, jing3	〖水 景 澋〗〖氵 景 澋〗
si1, xi1	〖水 斯 澌〗〖氵 斯 澌〗
shu4, zhu4	〖水 尌 澍〗〖氵 尌 澍〗
peng2	〖水 彭 澎〗〖氵 彭 澎〗
han4	〖水 喦 澏〗〖氵 喦 澏〗
yun2	〖水 雲 澐〗〖水 云 沄〗〖氵 云 沄〗
liu4, liu1, liu2	〖水 畱 澑〗〖氵 畱 澑〗
hong4, hong3, gong3	〖水 項 澒〗〖水 项 □〗〖氵 项 □〗
fu2	〖水 復 澓〗〖氵 復 澓〗
hao4	〖水 皓 澔〗〖氵 皓 澔〗
he2	〖水 華 澕〗〖水 华 □〗〖氵 华 □〗
xian1	〖水 閑 澖〗〖水 闲 □〗〖氵 闲 □〗
jian4	〖水 間 澗〗〖水 间 涧〗〖氵 间 涧〗
shan1	〖水 林 日 澘〗〖氵 林 日 澘〗
xi4	〖水 舃 澙〗〖氵 舃 澙〗
yu2	〖水 虞 澞〗〖氵 虞 澞〗
lin3	〖水 稟 澟〗〖水 禀 □〗〖氵 禀 □〗
mian3, sheng2, min3	〖水 黽 澠〗〖水 黾 渑〗〖氵 黾 渑〗
zao3	〖水 品 木 澡〗〖氵 品 木 澡〗〖氵 喿 澡〗
dang1	〖水 當 澢〗〖水 当 □〗〖氵 当 □〗
huan3, huan4, han4, wan3, guan3	〖水 幹 澣〗〖氵 幹 澣〗
ze2	〖水 睪 澤〗〖水 又 二 丨 泽〗〖氵 又 二 丨 泽〗
xie4	〖水 解 澥〗〖氵 解 澥〗
yu4	〖水 預 澦〗〖水 预 滪〗〖氵 预 滪〗
li3	〖水 豊 澧〗〖氵 豊 澧〗
shi4	〖水 筮 澨〗〖氵 筮 澨〗
xue2, xiao4	〖臼 爻 冖 水 澩〗〖小 冖 水 泶〗
ling2	〖水 零 澪〗〖氵 零 澪〗
man4	〖水 萬 澫〗〖水 万 □〗〖氵 万 □〗
zi1	〖水 資 澬〗〖水 资 □〗〖氵 资 □〗
yong1	〖水 雍 澭〗〖氵 雍 澭〗
kuai4, hui4, hua2	〖水 會 澮〗〖水 会 浍〗〖氵 会 浍〗
can4	〖水 粲 澯〗〖氵 粲 澯〗
lian4	〖水 僉 澰〗〖水 佥 □〗〖氵 佥 □〗
dian4	〖水 殿 澱〗〖水 定 淀〗〖氵 定 淀〗
ye4	〖水 業 澲〗〖水 业 □〗〖氵 业 □〗
ao4	〖水 奧 澳〗〖水 奥 澳〗〖氵 奥 澳〗
huan2	〖水 睘 澴〗〖氵 睘 澴〗
zhen1	〖水 新 澵〗〖氵 新 澵〗
chan2, dan4, zhan1	〖水 亶 澶〗〖氵 亶 澶〗
man4	〖水 曰 网 方 澷〗〖氵 曰 罒 方 澷〗
dan3	〖水 感 澸〗〖氵 感 澸〗
dan4, dan2, shan4, tan2, dan1	〖水 詹 澹〗〖氵 詹 澹〗
yi4	〖水 意 澺〗〖氵 意 澺〗
sui4	〖水 遂 澻〗〖氵 遂 澻〗
pi4	〖水 辟 澼〗〖氵 辟 澼〗
ju4	〖水 豦 澽〗〖氵 豦 澽〗
ta4	〖水 達 澾〗〖水 达 □〗〖氵 达 □〗
qin2	〖水 禁 澿〗〖氵 禁 澿〗
ji1	〖水 敫 激〗〖氵 敫 激〗
zhuo2	〖水 蜀 濁〗〖水 虫 浊〗〖氵 虫 浊〗
lian2, xian3	〖水 廉 濂〗〖氵 廉 濂〗
nong2	〖水 農 膿〗〖水 农 脓〗〖氵 农 脓〗
guo1, wo1	〖水 過 濄〗〖水 过 □〗〖氵 过 □〗
jin4	〖水 宀 帚 又 濅〗〖氵 宀 帚 又 濅〗
fen2, fen4, pen1	〖水 賁 濆〗〖水 贲 □〗〖氵 贲 □〗
se4	〖水 嗇 濇〗〖水 啬 □〗〖氵 啬 □〗
ji2	〖水 戢 濈〗〖氵 戢 濈〗
sui1	〖水 睢 濉〗〖氵 睢 濉〗
hui4, huo4, wei4	〖水 歲 濊〗〖水 岁 □〗〖氵 岁 □〗
chu3	〖水 楚 濋〗〖氵 楚 濋〗
ta4	〖重 沓 濌〗
song1	〖水 葱 濍〗〖氵 葱 濍〗
ding3, ting4	〖水 鼎 濎〗〖氵 鼎 濎〗
zhu3	〖水 暑 濐〗〖氵 暑 濐〗
lian2	〖水 亷 濓〗〖氵 亷 濓〗
mi3, mi2, ni3	〖水 爾 濔〗〖水 尔 沵〗〖氵 尔 沵〗
shi1	〖水 日 幺 幺 火 濕〗〖水 显 湿〗〖氵 显 湿〗
shu4	〖水 署 濖〗〖氵 署 濖〗
mi4	〖水 幕 濗〗〖氵 幕 濗〗
ning3	〖水 寧 濘〗〖水 宁 泞〗〖氵 宁 泞〗
ying2, ying4	〖水 熒 濙〗〖水 荧 □〗〖氵 荧 □〗
ying2	〖水 榮 濚〗〖水 荣 溁〗〖氵 荣 溁〗
meng2	〖水 蒙 濛〗〖草 冡 蒙〗〖艸 冡 蒙〗〖艹 冡 蒙〗
jin4	〖水 盡 濜〗〖水 尽 浕〗〖氵 尽 浕〗
qi2	〖水 綦 濝〗〖氵 綦 濝〗
pi4, bi4	〖水 鼻 濞〗〖氵 鼻 濞〗
ji3, ji4	〖水 齊 濟〗〖水 齐 济〗〖氵 齐 济〗
hao2	〖水 豪 濠〗〖氵 豪 濠〗
ru2	〖水 需 濡〗〖氵 需 濡〗
zui3	〖水 翠 濢〗〖氵 翠 濢〗
wo4	〖水 斡 濣〗〖氵 斡 濣〗
tao1, tao2	〖水 壽 濤〗〖水 寿 涛〗〖氵 寿 涛〗
yin4	〖水 夤 濥〗〖氵 夤 濥〗
yin3, xi1, yin1	〖水 爪 工 彐 心 濦〗〖水 爪 工 彐 心 □〗〖氵 爫 工 彐 心 □〗
dui4	〖水 對 濧〗〖水 对 □〗〖氵 对 □〗
ci2	〖水 慈 濨〗〖氵 慈 濨〗
huo4, hu4	〖水 蒦 濩〗〖氵 蒦 濩〗
jing4	〖水 靘 濪〗〖氵 靘 濪〗
lan4	〖水 監 濫〗〖水 监 滥〗〖氵 监 滥〗
jun4	〖水 睿 濬〗〖氵 睿 濬〗
ai4	〖水 蓋 濭〗〖氵 蓋 濭〗
pu2, pu1	〖水 僕 濮〗〖水 仆 □〗〖氵 仆 □〗
zhuo2, zhao4, shuo4	〖水 翟 濯〗〖氵 翟 濯〗
wei2	〖水 維 濰〗〖水 维 潍〗〖氵 维 潍〗
bin1	〖水 賓 濱〗〖水 宾 滨〗〖氵 宾 滨〗
gu3	〖水 穀 濲〗〖氵 穀 濲〗
qian2	〖水 先 先 曰 濳〗〖水 替 潜〗〖氵 替 潜〗
xing2, ying2	〖水 滎 濴〗〖水 荥 □〗〖氵 荥 □〗
kuo4	〖水 門 舌 濶〗〖水 门 舌 □〗〖氵 门 舌 □〗
fei4	〖水 滿 濷〗〖水 满 □〗
jian4	〖水 賤 濺〗〖水 贱 溅〗〖氵 贱 溅〗
wei3, dui4	〖水 隤 濻〗〖水 隤 □〗〖氵 隤 □〗
luo4, bo2, po1, li4	〖水 樂 濼〗〖水 乐 泺〗〖氵 乐 泺〗
zan4, cuan2, qian2, za1	〖水 賛 濽〗〖水 赞 □〗〖氵 赞 □〗
lü4	〖水 慮 濾〗〖水 虑 滤〗〖氵 虑 滤〗
li4	〖水 厲 濿〗〖水 厉 □〗〖氵 厉 □〗
you1	〖水 憂 瀀〗〖水 尤 沋〗〖氵 尤 沋〗
yang4, yang3	〖水 養 瀁〗〖氵 養 瀁〗
lu3	〖水 魯 瀂〗〖水 鲁 □〗〖氵 鲁 □〗
si4	〖水 賜 瀃〗〖水 赐 □〗〖氵 赐 □〗
jie2	〖水 節 瀄〗〖水 节 □〗〖氵 节 □〗
ying2	〖水 瑩 瀅〗〖水 莹 滢〗〖氵 莹 滢〗
du2	〖水 賣 瀆〗〖水 卖 渎〗〖氵 卖 渎〗
wang3	〖水 廣 瀇〗〖水 广 □〗〖氵 广 □〗
hui1	〖水 翬 瀈〗〖水 翬 □〗〖氵 翬 □〗
xie4	〖水 寫 瀉〗〖水 写 泻〗〖氵 写 泻〗
pan2	〖水 盤 瀊〗〖水 盘 □〗〖氵 盘 □〗
shen3	〖水 審 瀋〗〖水 冘 沈〗〖氵 冘 沈〗
shen3	〖水 審 瀋〗〖水 审 渖〗〖氵 审 渖〗
biao1	〖水 麃 瀌〗〖氵 麃 瀌〗
chan2	〖水 廛 瀍〗〖氵 廛 瀍〗
mo4	〖水 蔑 瀎〗〖氵 蔑 瀎〗
liu2	〖水 卯 金 刀〗〖水 文 刀〗〖氵 文 刂〗
jian1	〖水 韯 瀐〗〖氵 韯 瀐〗
pu4	〖水 暴 瀑〗〖氵 暴 瀑〗
se4	〖水 來 一 回 瀒〗〖水 来 一 回 □〗〖氵 来 一 回 □〗
cheng2	〖水 徵 瀓〗〖氵 徵 瀓〗
bin1	〖水 頻 瀕〗〖水 频 濒〗〖氵 频 濒〗
huo4	〖水 霍 瀖〗〖氵 霍 瀖〗
xian4	〖水 憲 瀗〗〖水 宪 □〗〖氵 宪 □〗
lu2	〖水 盧 瀘〗〖水 卢 泸〗〖氵 卢 泸〗
qin1, qin4	〖水 親 瀙〗〖水 亲 □〗〖氵 亲 □〗
han4	〖水 翰 瀚〗〖氵 翰 瀚〗
ying2	〖水 嬴 瀛〗〖氵 嬴 瀛〗
yong1, rong2	〖水 融 瀜〗〖氵 融 瀜〗
li4	〖水 歷 瀝〗〖水 历 沥〗〖氵 历 沥〗
jing4	〖水 静 瀞〗〖氵 静 瀞〗
xiao1	〖水 蕭 瀟〗〖水 肃 潇〗〖氵 肃 潇〗
ying2	〖水 縈 瀠〗〖水 萦 潆〗〖氵 萦 潆〗
sui3	〖水 隨 瀡〗〖水 随 □〗〖氵 随 □〗
wei2	〖水 遺 瀢〗〖水 遗 □〗〖氵 遗 □〗
xie4	〖水 韰 瀣〗〖氵 韰 瀣〗
huai2	〖水 褱 瀤〗〖氵 褱 瀤〗
hao4	〖水 翯 瀥〗〖氵 翯 瀥〗
zhu1	〖水 豬 瀦〗〖水 猪 潴〗〖氵 猪 潴〗
long2, shuang1	〖水 龍 瀧〗〖水 龙 泷〗〖氵 龙 泷〗
lai4	〖水 賴 瀨〗〖水 赖 濑〗〖氵 赖 濑〗
dui4	〖水 頹 瀩〗〖水 颓 □〗〖氵 颓 □〗
fan2	〖敏 泉 瀪〗
hu2	〖水 縠 瀫〗〖氵 縠 瀫〗
lai4	〖水 頼 瀬〗〖水 頼 □〗〖氵 頼 □〗
ying2	〖水 營 瀯〗〖水 营 □〗〖氵 营 □〗
mi2	〖水 彌 瀰〗〖弓 尔 弥〗
ji4	〖水 罽 瀱〗〖氵 罽 瀱〗
lian4	〖水 斂 瀲〗〖水 敛 潋〗〖氵 敛 潋〗
jian4	〖水 薦 瀳〗〖氵 薦 瀳〗
ying3, ying1, ying4	〖水 嬰 瀴〗〖水 婴 □〗〖氵 婴 □〗
fen4	〖水 糞 瀵〗〖氵 糞 瀵〗
lin2	〖水 臨 瀶〗〖水 临 □〗〖氵 临 □〗
yi4	〖水 翼 瀷〗〖氵 翼 瀷〗
jian1	〖水 韱 瀸〗〖氵 韱 瀸〗
yue4, yao4	〖水 龠 瀹〗〖氵 龠 瀹〗
chan2	〖水 毚 瀺〗〖氵 毚 瀺〗
dai4	〖水 戴 瀻〗〖氵 戴 瀻〗
rang2, rang4	〖水 襄 瀼〗〖氵 襄 瀼〗
jian3	〖水 蹇 瀽〗〖氵 蹇 瀽〗
lan2	〖水 闌 瀾〗〖水 阑 澜〗〖氵 阑 澜〗
fan2	〖水 繁 瀿〗〖氵 繁 瀿〗
shuang4	〖水 霜 灀〗〖氵 霜 灀〗
yuan1	〖水 門 泉 灁〗〖水 门 泉 □〗〖氵 门 泉 □〗
zhuo2, jiao4	〖水 爵 灂〗〖氵 爵 灂〗
feng1	〖水 豐 灃〗〖氵 豐 灃〗
she4, ni4	〖水 聶 灄〗〖水 聂 滠〗〖氵 聂 滠〗
lei3	〖水 壘 灅〗〖氵 壘 灅〗
lan2	〖水 藍 灆〗〖水 蓝 □〗〖氵 蓝 □〗
cong2	〖水 叢 灇〗〖水 丛 □〗〖氵 丛 □〗
qu2	〖水 瞿 灈〗〖氵 瞿 灈〗
yong1	〖水 雝 灉〗〖氵 雝 灉〗
qian2	〖水 鬵 灊〗〖氵 鬵 灊〗
guan4	〖水 雚 灌〗〖氵 雚 灌〗
que4	〖水 闕 灍〗〖水 阙 □〗〖氵 阙 □〗
yan4	〖水 豊 盍 灎〗〖水 艳 滟〗〖氵 艳 滟〗
sa3	〖水 麗 灑〗〖水 西 洒〗〖氵 西 洒〗
zan4	〖水 贊 灒〗〖水 赞 □〗〖氵 赞 □〗
luan2	〖絲 言 水 灓〗〖亦 水 □〗
yan4	〖水 艶 灔〗〖水 艳 滟〗〖氵 艳 滟〗
li2	〖水 離 灕〗〖水 离 □〗〖氵 离 □〗
mi3	〖水 靡 灖〗〖氵 靡 灖〗
shan4	〖水 蟺 灗〗〖氵 蟺 灗〗
tan1	〖水 難 灘〗〖水 难 滩〗〖氵 难 滩〗
dang3	〖水 黨 灙〗〖水 党 □〗〖氵 党 □〗
jiao3	〖水 覺 灚〗〖水 觉 □〗〖氵 觉 □〗
chan3	〖水 闡 灛〗〖水 阐 □〗〖氵 阐 □〗
hao4	〖水 顥 灝〗〖水 颢 灏〗〖氵 颢 灏〗
ba4	〖水 霸 灞〗〖氵 霸 灞〗
zhu2	〖水 屬 灟〗〖水 属 □〗〖氵 属 □〗
lan3	〖水 覽 灠〗〖水 览 □〗〖氵 览 □〗
lan2	〖水 蘭 灡〗〖水 兰 □〗〖氵 兰 □〗
nang3	〖水 囊 灢〗〖氵 囊 灢〗
wan1	〖水 彎 灣〗〖水 弯 湾〗〖氵 弯 湾〗
luan2	〖水 欒 灤〗〖水 栾 滦〗〖氵 栾 滦〗
xun2	〖泉 泉 泉 灥〗
xian3	〖水 顯 灦〗〖水 显 □〗〖氵 显 □〗
yan4	〖水 艷 灧〗〖水 艳 滟〗〖氵 艳 滟〗
yan4	〖水 豔 灩〗〖氵 豔 灩〗
yu4	〖水 鬱 灪〗〖水 郁 □〗〖氵 郁 □〗
huo3	〖丷 人 火〗
biao1, hou3	〖丶 丶 丶 丶 灬〗
guang1	〖火 儿 灮〗
hui1	〖厂 火 灰〗〖一 丿 火 灰〗
xiao1	〖火 刀 灱〗
xiao1	〖火 刀 灲〗〖火 刂 灲〗
hong2	〖火 工 灴〗
zao4	〖火 土 灶〗
zhuan4	〖火 廾 灷〗
jiu3	〖久 火 灸〗
zha4	〖火 乇 灹〗
xie4	〖火 也 灺〗
chi4	〖土 火 灻〗
zhuo2	〖火 勺 灼〗
zai1	〖巛 火 災〗〖宀 火 灾〗
qi4	〖旡 火 炁〗〖旡 灬 炁〗
zhong1	〖火 公 炂〗
fen2	〖分 火 炃〗
niu3	〖火 丑 炄〗
jiong3, geng3, gui4	〖日 火 炅〗
wen2	〖火 文 炆〗
po4	〖火 攴 炇〗〖火 攵 炇〗
yi4	〖火 殳 炈〗
chui1	〖火 欠 炊〗
pi1	〖火 不 炋〗
kai4	〖火 介 炌〗
pan4	〖火 反 炍〗
yan2	〖火 火 炎〗
kai4	〖火 火 炏〗
pang4	〖火 丰 炐〗
mu4	〖火 木 炑〗
chao3	〖火 少 炒〗
liao4	〖火 斗 炓〗
gui4, xue4, que1, geng3	〖火 夬 炔〗
kang4	〖火 亢 炕〗
guang1	〖廿 火 炗〗
xin1	〖火 斤 炘〗
zhi4	〖肉 火 炙〗〖月 火 炙〗
guang1, guang4	〖火 化 炛〗
da2	〖火 旦 炟〗
xia2	〖火 甲 炠〗
zheng1	〖火 正 炡〗
zhu2	〖火 术 炢〗
ke3	〖火 可 炣〗
zhao4, zhao1	〖火 召 炤〗
fu2	〖火 弗 炥〗
ba2	〖火 犮 炦〗
duo4, xie4	〖火 㐌 炧〗
duo4	〖火 它 炨〗
ling4	〖火 令 炩〗
zhuo2	〖火 出 炪〗
xuan4	〖火 玄 炫〗
ju4	〖火 巨 炬〗
tan4	〖山 灰 炭〗〖山 厂 火 炭〗
pao4	〖火 包 炮〗
jiong3	〖火 冋 炯〗
pao2, pao4	〖包 火 炰〗〖包 灬 炰〗
tai2	〖台 火 炱〗
tai2	〖火 台 炲〗
bing3	〖火 丙 炳〗
yang3	〖火 央 炴〗
tong1	〖火 冬 炵〗
han1	〖火 占 炶〗
zhu4	〖火 主 炷〗
zha4	〖火 乍 炸〗
wei2, wei4	〖丶 丿 ㇆ ㇆ ㇆ 火 為〗〖丶 丿 ㇆ 丶 为〗
shi2	〖火 石 炻〗
huang3	〖火 兄 炾〗
hu1	〖火 乎 烀〗
jiao3	〖火 交 烄〗
xu4	〖火 血 烅〗
xing2	〖火 行 烆〗
quan4, quan3	〖火 全 烇〗
lie4	〖列 火 烈〗〖列 灬 烈〗
huan4	〖刀 冂 八 火 烉〗
yang4, yang2	〖火 羊 烊〗
xiao1, xiu1	〖休 火 烋〗〖休 灬 烋〗
xiu1	〖火 休 烌〗
xian3	〖火 先 烍〗
yin2	〖干 干 火 烎〗
wu1, wu4	〖户 一 ㇆ 火 烏〗〖勹 ㇉ 一 乌〗
zhou1	〖火 舟 烐〗
yao2	〖火 兆 烑〗
shi4	〖火 式 烒〗
wei1	〖火 圭 烓〗
tong2	〖火 同 烔〗
mie4	〖戊 一 火 烕〗
zai1	〖十 戈 火 烖〗〖土 戈 火 烖〗
kai4	〖火 亥 烗〗
hong1	〖火 共 烘〗
lao4	〖火 各 烙〗
xia2	〖火 合 烚〗
xuan3, hui3, xuan1	〖火 亘 烜〗
zheng1	〖丞 火 烝〗〖丞 灬 烝〗
po4	〖火 朴 烞〗
hui3	〖火 有 烠〗
guang1	〖火 共 烡〗
zhe4	〖火 宅 烢〗
hui1	〖火 灰 烣〗
kao3	〖火 考 烤〗
xi1	〖火 希 烯〗
fu2	〖火 孚 烰〗
jiong3	〖火 冏 烱〗
che4	〖折 火 烲〗
pu3	〖火 甫 烳〗
ting1	〖火 巠 烴〗〖火 圣 烃〗
zhuo2	〖火 勺 烵〗
ting3	〖火 廷 烶〗
wan2	〖火 完 烷〗
hai3	〖火 每 烸〗
peng1	〖亨 火 烹〗〖亨 灬 烹〗
lang3	〖火 良 烺〗
shan1, shan2, yan4	〖火 延 烻〗
hu1	〖火 豕 烼〗
feng1	〖火 夆 烽〗
chi4	〖炎 土 烾〗
rong2	〖火 彤 烿〗
hu2	〖火 谷 焀〗
shu2	〖攸 火 焂〗
he4	〖火 赤 焃〗
xun1, hun1	〖君 火 焄〗〖君 灬 焄〗
ku4	〖火 告 焅〗
jue2	〖火 肙 焆〗
xiao1	〖火 肖 焇〗
xi1, yi2	〖戶 已 焈〗〖户 已 焈〗
yan1	〖正 一 勹 火 焉〗〖正 一 勹 灬 焉〗
han4	〖火 旱 焊〗
zhuang4	〖壯 火 焋〗〖壮 火 □〗〖壮 灬 □〗
jun4	〖火 夋 焌〗
di4	〖火 弟 焍〗
xie4	〖折 火 焎〗〖折 灬 焎〗
ji2, qi4	〖了 口 又 火 焏〗〖了 口 又 灬 焏〗
wu4	〖火 吾 焐〗
han2	〖火 含 焓〗
yan4	〖火 刀 旧 焔〗〖火 臽 焰〗
ju2	〖火 局 焗〗
bei4	〖火 咅 焙〗
fen2	〖林 火 焚〗
lin4	〖門 火 焛〗〖门 火 □〗
kun1, hun3	〖火 昆 焜〗
hun4	〖火 昏 焝〗
tun1	〖火 享 焞〗
xi2	〖火 昔 焟〗
cui4	〖火 卒 焠〗
mo2, wu2	〖𠂉 卌 一 火 無〗〖一 尢 无〗
hong1	〖火 空 焢〗
ju4	〖取 火 焣〗〖取 灬 焣〗
fu3	〖府 火 焤〗
wo4	〖火 宛 焥〗
jiao1	〖隹 火 焦〗〖隹 灬 焦〗
cong1	〖火 忩 焧〗
feng4	〖火 冐 焨〗
ping1	〖火 朋 焩〗
qiong1	〖火 穹 焪〗
ruo4, re4	〖火 芮 焫〗
xi2	〖火 易 焬〗
qiong2	〖火 火 冖 几 焭〗〖艹 冖 几 □〗
xin4, xin1	〖火 欣 焮〗
zhuo2, zhuo1, chuo4, chao1	〖火 卓 焯〗
yan4, yan2	〖火 臽 焰〗
yan4, biao1, yi4	〖火 火 火 焱〗
yi4	〖火 夜 焲〗
jue2, jiao1	〖火 隹 焳〗
yu4	〖火 育 焴〗
gang4	〖火 岡 焵〗
ran2	〖肉 犬 火 然〗〖月 犬 灬 然〗
pi2	〖火 卑 焷〗
gu3	〖日 日 火 焸〗
sheng1	〖火 昇 焺〗
chang4	〖火 昌 焻〗
shao1	〖火 尭 焼〗〖火 尧 烧〗
chen2, shen2	〖火 甚 煁〗
he4	〖火 革 煂〗
kui3	〖火 奎 煃〗
zhong1	〖火 重 煄〗
duan4	〖火 段 煅〗
xia1, xia4	〖火 叚 煆〗
hui1, xun1, yun4	〖火 軍 煇〗〖火 军 □〗
feng4	〖火 風 煈〗〖火 风 □〗
lian4	〖火 柬 煉〗〖火 东 一 炼〗
xuan1	〖火 宣 煊〗
xing1	〖火 星 煋〗
huang2	〖火 皇 煌〗
jiao3	〖火 秋 煍〗
jian1	〖前 火 煎〗〖前 灬 煎〗
bi4	〖火 畐 煏〗
ying1	〖火 英 煐〗
zhu3	〖者 火 煑〗
wei3, hui1	〖火 韋 煒〗〖火 韦 炜〗
tuan1	〖火 耑 煓〗
tian4, qian2, shan1, shan3	〖炎 占 煔〗
xi1	〖巸 火 煕〗〖巸 灬 煕〗
nuan3, xuan1	〖火 爰 煖〗
nuan3	〖火 耎 煗〗
chan2	〖火 咸 煘〗
yan1	〖火 垔 煙〗〖火 因 烟〗
jiong3	〖昛 火 煚〗
jiong3	〖目 目 火 煛〗
yu4	〖火 日 立 煜〗
mei4, mei2	〖火 眉 煝〗
sha1, sha4	〖刍 攴 火 煞〗〖刍 攵 灬 煞〗
wei4	〖火 胃 煟〗
ye4, zha2	〖火 枼 煠〗
xin4	〖火 建 煡〗
qiong2	〖火 火 冖 卂 煢〗〖草 冖 卂 茕〗〖艸 冖 卂 茕〗〖艹 冖 卂 茕〗
rou3	〖火 柔 煣〗
mei2	〖火 某 煤〗
huan4	〖火 奐 煥〗〖火 奂 焕〗
xu3, xu4, xiu1	〖昫 火 煦〗〖昫 灬 煦〗
zhao4	〖日 召 火 照〗〖日 召 灬 照〗
wei1, yu4	〖火 畏 煨〗
fan2	〖火 頁 煩〗〖火 页 烦〗
qiu2	〖火 酋 煪〗
sui4	〖火 丷 豕 煫〗
yang2, yang4	〖火 昜 煬〗〖火 弓 丿 丿 炀〗
lie4	〖巛 列 火 煭〗〖巛 列 灬 煭〗
zhu3	〖者 火 煮〗〖者 灬 煮〗
gao4	〖火 品 煰〗
gua1	〖火 咼 煱〗〖火 呙 □〗
bao1, bao4	〖保 火 煲〗
hu2	〖火 胡 煳〗
xia1	〖火 南 煵〗
bian1	〖火 扁 煸〗
gou4	〖火 冓 煹〗
tui4	〖火 退 煺〗
tang2	〖火 唐 煻〗
chao3	〖火 芻 煼〗
shan1	〖火 扇 煽〗
en1, yun1	〖火 恩 煾〗
bo2	〖火 尃 煿〗
huang3	〖火 晃 熀〗
xie2	〖火 脅 熁〗
xi4	〖火 氣 熂〗〖火 气 □〗
wu4	〖務 火 熃〗〖务 火 □〗
xi1, xi2	〖火 息 熄〗
yun4, yun2, yun1	〖火 昷 熅〗〖火 昷 煴〗
he2	〖火 盍 熆〗
he4	〖火 高 熇〗
xi1	〖丿 熙 熈〗
yun2	〖火 員 熉〗〖火 员 □〗
xiong2	〖能 火 熊〗〖能 灬 熊〗
nai2	〖能 火 熋〗
shan4	〖火 閃 熌〗〖火 闪 □〗
yao4	〖爪 缶 熎〗〖爫 缶 熎〗
xun1	〖丿 一 黑 熏〗〖丿 一 里 丷 火 熏〗〖丿 一 里 丷 灬 熏〗
mi4	〖火 冥 熐〗
lian2	〖火 兼 熑〗
ying2	〖火 火 冖 火 熒〗〖草 冖 火 荧〗〖艸 冖 火 荧〗〖艹 冖 火 荧〗
wu3, wen4	〖火 烏 熓〗
rong2	〖火 容 熔〗
qiang4	〖火 倉 熗〗〖火 仓 炝〗
liu1, liu4	〖火 留 熘〗
xi1	〖巸 火 熙〗〖巸 灬 熙〗
bi4	〖火 畢 熚〗〖火 毕 □〗
biao1	〖火 票 熛〗
zong3	〖火 悤 熜〗
lu4	〖火 鹿 熝〗
jian1	〖火 堅 熞〗
shu2, shou2	〖孰 火 熟〗〖孰 灬 熟〗
yi4	〖火 習 熠〗
