开放汉语拆字字典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本拆字字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［汉字］	［拆字部件］
gai4	〖山 乙 乢〗〖山 乚 乢〗
jiu3	〖幺 乙 乣〗〖幺 乚 乣〗
shi3	〖台 乙 乨〗〖台 乚 乨〗
ji1	〖占 乙 乩〗
nang2	〖乙 田 乪〗
jia1	〖加 乙 乫〗
shi2	〖石 乙 乭〗
ru3	〖孚 乙 乳〗
xue2	〖折 乙 乴〗
yan3	〖辛 乙 乵〗〖辛 乚 乵〗
fu3	〖甫 乙 乶〗
sha1	〖沙 乙 乷〗
na3	〖也 母 乸〗
gan1, qian2	〖𠦝 乚 乹〗〖十 日 十 乚 乹〗〖卓 乚 乹〗
gan1, qian2	〖𠦝 乞 乾〗〖一 十 干〗
chi4	〖爪 糸 乙 乿〗〖爫 糸 乚 乿〗
gui1	〖龟 日 亀〗〖龟 曰 亀〗〖刀 日 电 亀〗
gan1	〖十 日 干 乞 亁〗
luan4	〖爪 龴 冂 厶 又 乙 亂〗〖舌 乙 乱〗〖舌 乚 乱〗
lin2	〖粦 乙 亃〗〖粦 乚 亃〗
yi4	〖壹 乙 亄〗〖壹 乚 亄〗
liao3, le5	〖乛 亅 了〗
yu2, yu3	〖龴 乛 亅 予〗
shi4	〖一 丷 亅 聿 亊〗〖一 丷 亅 肀 亊〗
shi4	〖一 口 聿 事〗〖一 口 肀 事〗
er4	〖一 一 二〗
chu4	〖一 丁 亍〗
yu2	〖二 亅 于〗
yu2	〖一 丂 亐〗
yun2	〖二 厶 云〗
hu4	〖一 彑 互〗
qi2	〖一 丌 亓〗
wu3	〖二 丨 ㇆〗
jing3	〖二 丿 丨 井〗
si4	〖二 二 亖〗
sui4	〖山 二 亗〗
gen4, geng4	〖万 丶 丶 一 亙〗〖一 旦 亘〗〖二 日 亘〗
xie1	〖此 二 些〗
ya4	〖二 口 丨 丨 亜〗〖一 业 亚〗
qi2, zhai1, zi1	〖厽 二 亝〗
ya4	〖二 □ 亞〗〖一 业 亚〗
ji2	〖丂 口 又 一 亟〗
tou2	〖丶 一 亠〗
wang2	〖丶 匸 亡〗
kang4, gang1	〖亠 几 亢〗
ta4	〖丶 丌 亣〗
jiao1	〖亠 父 交〗
hai4	〖亠 □ 人 亥〗
yi4	〖亠 丿 亅 八 亦〗
heng1, heng2	〖亠 口 了 亨〗
xiang3	〖亠 口 子 享〗
jing1	〖亠 口 小 京〗
ting2	〖亠 口 冖 丁 亭〗
